timestamp,match,bookmaker,market,team,odds
2025-07-23 20:36:10.559431,Liverpool vs Bournemouth,BetRivers,h2h,Bournemouth,6.5
2025-07-23 20:36:10.559431,Liverpool vs Bournemouth,BetRivers,h2h,Liverpool,1.34
2025-07-23 20:36:10.559431,Liverpool vs Bournemouth,BetRivers,h2h,Draw,5.0
2025-07-23 20:36:10.559431,Liverpool vs Bournemouth,DraftKings,h2h,Bournemouth,7.0
2025-07-23 20:36:10.559431,Liverpool vs Bournemouth,DraftKings,h2h,Liverpool,1.35
2025-07-23 20:36:10.559431,Liverpool vs Bournemouth,DraftKings,h2h,Draw,5.5
2025-07-23 20:36:10.559431,Liverpool vs Bournemouth,BetMGM,h2h,Bournemouth,7.25
2025-07-23 20:36:10.559431,Liverpool vs Bournemouth,BetMGM,h2h,Liverpool,1.36
2025-07-23 20:36:10.559431,Liverpool vs Bournemouth,BetMGM,h2h,Draw,5.25
2025-07-23 20:36:10.559431,Liverpool vs Bournemouth,BetOnline.ag,h2h,Bournemouth,7.2
2025-07-23 20:36:10.559431,Liverpool vs Bournemouth,BetOnline.ag,h2h,Liverpool,1.35
2025-07-23 20:36:10.559431,Liverpool vs Bournemouth,BetOnline.ag,h2h,Draw,5.33
2025-07-23 20:36:10.559431,Liverpool vs Bournemouth,LowVig.ag,h2h,Bournemouth,7.2
2025-07-23 20:36:10.559431,Liverpool vs Bournemouth,LowVig.ag,h2h,Liverpool,1.35
2025-07-23 20:36:10.559431,Liverpool vs Bournemouth,LowVig.ag,h2h,Draw,5.33
2025-07-23 20:36:10.559431,Liverpool vs Bournemouth,Bovada,h2h,Bournemouth,7.25
2025-07-23 20:36:10.559431,Liverpool vs Bournemouth,Bovada,h2h,Liverpool,1.35
2025-07-23 20:36:10.559431,Liverpool vs Bournemouth,Bovada,h2h,Draw,5.6
2025-07-23 20:36:10.559431,Liverpool vs Bournemouth,FanDuel,h2h,Bournemouth,7.5
2025-07-23 20:36:10.559431,Liverpool vs Bournemouth,FanDuel,h2h,Liverpool,1.34
2025-07-23 20:36:10.559431,Liverpool vs Bournemouth,FanDuel,h2h,Draw,5.6
2025-07-23 20:36:10.559431,Liverpool vs Bournemouth,MyBookie.ag,h2h,Bournemouth,6.9
